gene,ST-only,image+ST
C3,0.0,0.025874
Angpt2,0.0,0.023168
Clgn,0.009307,0.015958
Ccl8,0.0,0.014978
Ahcyl2,0.0,0.011852
Cyp2c55,0.0,0.010692
Adgrg6,0.0,0.010567
CELF1,0.0,0.010139
Adam5,0.0,0.009815
Cdh26,0.0,0.009411
CXCR4,0.0,0.008605
Ciita,0.0,0.008067
Apoc1,0.00626,0.007948
AKAP1,0.0,0.007003
Ccnb1ip1,0.0,0.006818
Col16a1,0.004552,0.006383
Arhgef10,0.0,0.006298
B430306N03Rik,0.0,0.005923
AP5Z1,0.0,0.005923
CLASP2,0.0,0.005465
Anpep,0.0,0.005455
Cdca3,0.0,0.00544
Caln1,0.0,0.005372
COL1A2,0.0,0.00536
COX7A1,0.0,0.005073
Brinp3,0.0,0.005033
AV356131,0.0,0.004935
Cd209f,0.0,0.004929
C1qa,0.0,0.00477
Chrdl2,0.0,0.004606
