rank,gene,score
1,Acp5,0.010635
2,Clgn,0.009049
3,Alg11,0.007562
4,Cd3d,0.006495
5,Calb2,0.006113
6,Apoc1,0.005813
7,CCL16,0.005689
8,Cd55,0.005568
9,Acer3,0.005347
10,B2m,0.005234
11,BTNL9,0.005178
12,Ccdc171,0.005108
13,2900042K21Rik,0.005033
14,CLEC2B,0.004885
15,Cdkn2c,0.004784
16,Angptl2,0.004743
17,Apobec4,0.004704
18,Cyp2g1,0.004669
19,Col11a1,0.004527
20,Col16a1,0.004512
21,Cnn2,0.004328
22,Aicda,0.004230
23,Ccdc169,0.004203
24,C1qb,0.004175
25,4930515B02Rik,0.004103
26,BRCC3,0.004049
27,D830024N08Rik,0.003927
28,Bmp7,0.003916
29,Birc7,0.003910
30,Cnga4,0.003795
