rank,gene,score
1,Clgn,0.008773
2,Acp5,0.008377
3,Alg11,0.006740
4,Cd3d,0.006731
5,Calb2,0.006452
6,Cd55,0.005868
7,Apoc1,0.005815
8,CCL16,0.005704
9,B2m,0.005691
10,Apobec4,0.005348
11,Ccdc171,0.005163
12,BTNL9,0.004934
13,Aicda,0.004910
14,Cdkn2c,0.004879
15,Col16a1,0.004861
16,CLEC2B,0.004813
17,C1qb,0.004708
18,Ccdc169,0.004559
19,Cnn2,0.004490
20,Col11a1,0.004424
21,Angptl2,0.004409
22,Acer3,0.003915
23,Bmp7,0.003890
24,Calb1,0.003858
25,Cavin2,0.003853
26,Bhlhe22,0.003846
27,Cnga4,0.003829
28,Cd8b1,0.003813
29,Birc7,0.003806
30,CYP21A2,0.003712
