rank,gene,score
1,Acp5,0.008603
2,B2m,0.006829
3,Calb2,0.006359
4,2200002D01Rik,0.005658
5,Clgn,0.005637
6,Cd3d,0.005593
7,Cd55,0.005407
8,CCL16,0.005009
9,Ccdc171,0.004944
10,H2-Ab1,0.004874
11,Muc2,0.004440
12,Ccdc169,0.004434
13,CLEC2B,0.004271
14,CTSB,0.004085
15,Cd8b1,0.003926
16,Calb1,0.003858
17,Cdkn2c,0.003833
18,C1qb,0.003816
19,CAVIN1,0.003717
20,Aqp8,0.003625
21,CYP21A2,0.003501
22,Cavin2,0.003468
23,Id1,0.003462
24,Col16a1,0.003458
25,Map2k1,0.003456
26,Ahnak,0.003437
27,Guca2a,0.003335
28,Cd24a,0.003315
29,Ccnb1ip1,0.003314
30,Smim24,0.003295
