rank,gene,score
1,C3,0.025938
2,Angpt2,0.024598
3,Ccl8,0.020407
4,Clgn,0.015034
5,VHL,0.011308
6,Ahcyl2,0.010887
7,SLIT3,0.009511
8,CELF1,0.009494
9,Cdh26,0.008553
10,CXCR4,0.008347
11,TBL1XR1,0.008102
12,Adgrg6,0.007993
13,Ciita,0.007358
14,COL1A2,0.007115
15,Col16a1,0.007031
16,Adam5,0.007026
17,Apoc1,0.006938
18,Ccnb1ip1,0.006836
19,B430306N03Rik,0.005791
20,Cd209f,0.005643
21,Arhgef10,0.005640
22,CNBP,0.005383
23,AKAP1,0.005347
24,Caln1,0.005334
25,Anpep,0.005195
26,Cdca3,0.005190
27,C1qa,0.005068
28,Brinp3,0.004924
29,DCN,0.004806
30,C1QC,0.004801
