rank,gene,score
1,C3,0.049349
2,Isyna1,0.025789
3,Angpt2,0.022209
4,Ccl8,0.021535
5,Clgn,0.014445
6,CELF1,0.011269
7,Apoc1,0.011256
8,Ahcyl2,0.009750
9,Cdh26,0.008668
10,CXCR4,0.008575
11,Adgrg6,0.007150
12,Ciita,0.006935
13,Ccnb1ip1,0.006770
14,Col16a1,0.006233
15,B430306N03Rik,0.006121
16,Adam5,0.005826
17,Cd209f,0.005667
18,Caln1,0.005356
19,Arhgef10,0.005353
20,COL1A2,0.005309
21,C1QC,0.005272
22,Brinp3,0.005181
23,C1qa,0.004850
24,CCDC66,0.004821
25,Lyz2,0.004755
26,CLASP2,0.004622
27,Ccdc24,0.004418
28,Anpep,0.004406
29,CNBP,0.004381
30,Cdca3,0.004320
