rank,gene,score
1,ITM2C,0.002278
2,ABCC9,0.002128
3,SGCE,0.002126
4,TIAM1,0.002121
5,ARHGAP45,0.002114
6,IKZF1,0.002114
7,LUC7L,0.002109
8,CSGALNACT1,0.002108
9,ILF2,0.002085
10,RNF146,0.002085
11,TSPAN4,0.002083
12,ZNF407,0.002083
13,Cdkn2c,0.002079
14,CTCF,0.002076
15,THBS1,0.002074
16,ANGPTL4,0.002072
17,S100PBP,0.002069
18,F10,0.002068
19,CCL16,0.002065
20,Cd3d,0.002063
21,SSBP3,0.002062
22,SLC6A16,0.002060
23,CALY,0.002056
24,DSEL,0.002056
25,Cfap126,0.002056
26,ATP2B4,0.002055
27,PTX3,0.002052
28,MED19,0.002052
29,EHD4,0.002052
30,PODN,0.002050
