rank,gene,score
1,Cd36,0.002153
2,Slc2a1,0.002142
3,Cyp1a2,0.002119
4,Pced1a,0.002116
5,Rdx,0.002108
6,Hsd17b11,0.002100
7,Cxcl12,0.002096
8,Zfp280b,0.002094
9,Asnsd1,0.002082
10,Tes,0.002081
11,Cdkn2c,0.002080
12,F10,0.002075
13,Rhoc,0.002073
14,Mcmbp,0.002070
15,Il1r1,0.002068
16,Doc2g,0.002066
17,Prepl,0.002062
18,Il10ra,0.002056
19,Flna,0.002054
20,Mt2,0.002054
21,Slc6a13,0.002054
22,Tgm2,0.002053
23,Isyna1,0.002052
24,Bcar3,0.002052
25,Fkbp9,0.002052
26,Nfe2l2,0.002050
27,Lrig3,0.002050
28,Ddx19b,0.002049
29,Limd2,0.002048
30,Inmt,0.002047
