gene,ST-only,image+ST
Angpt2,0.0,0.021778
C3,0.0,0.018758
Clgn,0.009049,0.015825
Ccl8,0.0,0.013227
Ahcyl2,0.0,0.01103
Cyp2c55,0.0,0.01055
CELF1,0.0,0.010374
Adgrg6,0.0,0.00983
Adam5,0.0,0.009414
Cdh26,0.0,0.009006
CXCR4,0.0,0.008826
Ciita,0.0,0.008478
Apoc1,0.005813,0.008283
AKAP1,0.0,0.007668
Ccnb1ip1,0.0,0.006495
Col16a1,0.004512,0.006278
AP5Z1,0.0,0.006231
Arhgef10,0.0,0.006198
Cdca3,0.0,0.005618
Anpep,0.0,0.005599
CLASP2,0.0,0.005488
COX7A1,0.0,0.005483
B430306N03Rik,0.0,0.005386
Caln1,0.0,0.005183
COL1A2,0.0,0.005051
Cyr61,0.0,0.004892
AV356131,0.0,0.004843
4930570G19Rik,0.0,0.004838
Cd209f,0.0,0.004829
Brinp3,0.0,0.004785
