gene,ST-only,image+ST
C3,0.0,0.025938
Angpt2,0.0,0.024598
Ccl8,0.0,0.020407
Clgn,0.008773,0.015034
VHL,0.0,0.011308
Ahcyl2,0.0,0.010887
SLIT3,0.0,0.009511
CELF1,0.0,0.009494
Cdh26,0.0,0.008553
CXCR4,0.0,0.008347
TBL1XR1,0.0,0.008102
Adgrg6,0.0,0.007993
Ciita,0.0,0.007358
COL1A2,0.0,0.007115
Col16a1,0.004861,0.007031
Adam5,0.0,0.007026
Apoc1,0.005815,0.006938
Ccnb1ip1,0.0,0.006836
B430306N03Rik,0.0,0.005791
Cd209f,0.0,0.005643
Arhgef10,0.0,0.00564
CNBP,0.0,0.005383
AKAP1,0.0,0.005347
Caln1,0.0,0.005334
Anpep,0.0,0.005195
Cdca3,0.0,0.00519
C1qa,0.0,0.005068
Brinp3,0.0,0.004924
DCN,0.0,0.004806
C1QC,0.0,0.004801
