gene,ST-only,image+ST
C3,0.0,0.029268
Ccl8,0.0,0.02751
Cyp2c55,0.0,0.014663
Ahcyl2,0.0,0.013067
Isyna1,0.0,0.012191
CELF1,0.0,0.010173
Clgn,0.005637,0.009376
Angpt2,0.0,0.009123
CXCR4,0.0,0.008435
Cdh26,0.0,0.007523
Trp53i11,0.0,0.007487
Pxn,0.0,0.007021
F11r,0.0,0.006705
Ccnb1ip1,0.003314,0.006648
Col16a1,0.003458,0.006371
Cd209f,0.0,0.006015
Slc26a2,0.0,0.00591
C1qa,0.0,0.005547
Klf4,0.0,0.005307
Oasl2,0.0,0.005267
Caln1,0.0,0.005168
COL1A2,0.0,0.005053
Ciita,0.0,0.005002
Jchain,0.0,0.00483
Tspan8,0.0,0.004745
Hadhb,0.0,0.004587
Cd59a,0.0,0.004521
CNBP,0.0,0.004518
CCDC66,0.0,0.004459
Ccdc24,0.0,0.004416
