gene,bulk,image+ST
CCDC85C,0.0,0.026483
Asgr1,0.0,0.025683
CPSF4,0.0,0.020665
Cdc25c,0.0,0.015124
Aldh1a1,0.0,0.011802
CERS1,0.0,0.011467
Adamts4,0.0,0.009928
CNBP,0.0,0.008787
CYP1A2,0.0,0.008774
AW551984,0.0,0.008234
BDP1,0.0,0.007276
Ccr2,0.0,0.007187
CPXM2,0.0,0.006913
C1R,0.0,0.006744
Col9a2,0.0,0.006736
Bc1,0.0,0.006517
Ptn,0.002081,0.00649
Ly6a,0.0,0.006222
BRD7,0.0,0.005783
CSF2RA,0.0,0.005765
CHTF18,0.0,0.005487
CAV1,0.0,0.005458
COL16A1,0.0,0.005386
CCDC168,0.0,0.005364
Pcp4l1,0.0,0.005315
CCDC136,0.0,0.005239
B4GALT6,0.0,0.005106
CXCR6,0.0,0.005082
CD8A,0.0,0.004917
Kcna2,0.0,0.004892
