gene,bulk,image+ST
CPSF4,0.0,0.031853
CCDC85C,0.0,0.026365
CNBP,0.0,0.013298
LRRC40,0.0,0.011434
DEPRECATED_ENSG00000211890,0.0,0.010489
IGHA1,0.0,0.010224
ARGLU1,0.0,0.009901
COL1A2,0.0,0.008224
IGHV3-30,0.0,0.008138
TIMP1,0.0,0.007965
MED24,0.0,0.007612
MPC2,0.0,0.007529
FN1,0.0,0.007091
VWF,0.0,0.007075
FUS,0.0,0.006553
C1R,0.0,0.006548
TLN2,0.0,0.006371
CKB,0.0,0.005983
EEF1A1,0.0,0.00565
WDR43,0.0,0.005586
TMSB10,0.0,0.005497
LUM,0.0,0.005277
MDM4,0.0,0.005125
ATXN10,0.0,0.004953
SELENBP1,0.0,0.004692
CORO1C,0.0,0.004587
NOP53,0.0,0.004443
IFI6,0.0,0.00439
THBS1,0.002074,0.00437
UQCRB,0.0,0.004352
