gene,bulk,image+ST
Asgr1,0.0,0.022384
CCDC85C,0.0,0.018959
Cdc25c,0.0,0.015847
CPSF4,0.0,0.013767
Aldh1a1,0.0,0.011256
CERS1,0.0,0.010861
DIS3L,0.0,0.010579
Adamts4,0.0,0.010087
AW551984,0.0,0.009345
CYP1A2,0.0,0.009003
CNBP,0.0,0.00867
Ccr2,0.0,0.008644
BDP1,0.0,0.008215
ANKRD17,0.0,0.00755
CPXM2,0.0,0.006576
Col9a2,0.0,0.006441
AQP5,0.0,0.006254
BRD7,0.0,0.006095
CXCR6,0.0,0.005604
B4GALT6,0.0,0.005583
CFAP74,0.0,0.005571
C1R,0.0,0.005551
CLEC3A,0.0,0.00537
COL16A1,0.0,0.005209
CHTF18,0.0,0.005145
ARRDC3,0.0,0.004963
CSF2RA,0.0,0.004925
CAV1,0.0,0.004857
CCDC136,0.0,0.004782
Ccl21a,0.002053,0.004726
