gene,bulk,image+ST
CCDC85C,0.0,0.020866
Asgr1,0.0,0.018625
CPSF4,0.0,0.015544
Cdc25c,0.0,0.015222
CERS1,0.0,0.011048
Aldh1a1,0.0,0.010395
DIS3L,0.0,0.010314
Adamts4,0.0,0.009805
AW551984,0.0,0.00946
CYP1A2,0.0,0.00897
CNBP,0.0,0.008853
Ccr2,0.0,0.007991
BDP1,0.0,0.007733
Igf2,0.0,0.007647
ANKRD17,0.0,0.007251
CPXM2,0.0,0.006675
Col9a2,0.0,0.006483
BRD7,0.0,0.006098
AQP5,0.0,0.006035
C1R,0.0,0.005645
CXCR6,0.0,0.005492
B4GALT6,0.0,0.005485
CFAP74,0.0,0.005363
COL16A1,0.0,0.005313
CHTF18,0.0,0.005192
CLEC3A,0.0,0.005121
CSF2RA,0.0,0.005084
CCDC136,0.0,0.005009
ARRDC3,0.0,0.004907
CAV1,0.0,0.004864
