rank,gene,score
1,NCAM1,0.250698
2,Cps1,0.189462
3,CD24,0.099656
4,ARHGAP15,0.083205
5,EEF1A1,0.075902
6,EVL,0.028168
7,CBX3,0.023684
8,SFRP1,0.016122
9,DVL2,0.014802
10,YKT6,0.011808
11,MAD2L1,0.011278
12,CMTM7,0.011200
13,ITGB3BP,0.009608
14,COL1A2,0.008984
15,CCDC136,0.008921
16,Bc1,0.005648
17,MAP1B,0.005283
18,TCF7L2,0.005013
19,KIAA0232,0.004648
20,Adgrv1,0.004381
21,CTSB,0.004359
22,CCDC85C,0.004213
23,Cd209f,0.004155
24,KIAA0895L,0.004081
25,SYN1,0.003957
26,RNASE1,0.003775
27,CCDC80,0.003677
28,CDH2,0.003635
29,PANK3,0.003597
30,SSBP2,0.003373
