rank,gene,score
1,COL1A2,0.750459
2,ITGB3BP,0.086397
3,NCAM1,0.046871
4,TCF7L2,0.032440
5,IGHA1,0.029740
6,CTSB,0.012003
7,RNASE1,0.008414
8,YKT6,0.003109
9,LARP4,0.003085
10,ARHGAP15,0.002610
11,PPARA,0.002254
12,LRP11,0.002194
13,DVL2,0.001754
14,SKAP1,0.001635
15,SLC40A1,0.001617
16,IGKC,0.001398
17,CMTM7,0.000954
18,GALNT6,0.000882
19,CAVIN1,0.000753
20,EEF1A1,0.000697
21,CNBP,0.000626
22,CD24,0.000606
23,THBS4,0.000591
24,EEF1G,0.000546
25,CCDC80,0.000543
26,PRKG1,0.000343
27,WFDC2,0.000334
28,IGHM,0.000318
29,COL6A2,0.000302
30,RAB40C,0.000288
