rank,gene,score
1,Acp5,0.008479
2,Clgn,0.008476
3,Apoc1,0.007067
4,Calb2,0.006667
5,Cd3d,0.006398
6,Alg11,0.005809
7,CCL16,0.005690
8,B2m,0.005662
9,Cd55,0.005572
10,Apobec4,0.005159
11,BTNL9,0.005063
12,Ccdc171,0.005059
13,CLEC2B,0.004783
14,Cps1,0.004551
15,Ccdc169,0.004462
16,Cdkn2c,0.004397
17,Col16a1,0.004244
18,CTSB,0.004138
19,Mgst1,0.004124
20,Aicda,0.004121
21,Col11a1,0.004094
22,Cnn2,0.004081
23,CAVIN1,0.004040
24,C3,0.004011
25,Cd8b1,0.003992
26,C1qb,0.003902
27,BRCC3,0.003900
28,Birc7,0.003843
29,Bmp7,0.003806
30,Calb1,0.003743
