rank,gene,score
1,Nnat,0.004870
2,Car4,0.004041
3,Casp1,0.003796
4,Wls,0.003760
5,Cd36,0.003468
6,Ccl20,0.003226
7,S100a6,0.003173
8,Rapgef4,0.003126
9,B2m,0.003066
10,Cd59a,0.003054
11,Fabp7,0.002961
12,Ccr2,0.002958
13,Lars2,0.002953
14,Gfap,0.002922
15,Cfh,0.002888
16,Calml4,0.002854
17,Cd209f,0.002832
18,Fn1,0.002814
19,2010300C02Rik,0.002806
20,Doc2g,0.002713
21,Ptprz1,0.002681
22,Ptn,0.002680
23,Bcas1,0.002649
24,Sash1,0.002603
25,Cav1,0.002575
26,Caskin2,0.002555
27,Sparcl1,0.002538
28,Dst,0.002507
29,C4b,0.002499
30,Slc12a2,0.002496
