rank,gene,score
1,Car4,0.004263
2,Calml4,0.004251
3,Cfh,0.004063
4,Bnc2,0.003966
5,Casp1,0.003960
6,C130083M11Rik,0.003813
7,CERS1,0.003773
8,Cpne3,0.003770
9,COLEC12,0.003709
10,Crabp1,0.003692
11,Cdca3,0.003658
12,Cmah,0.003639
13,C1qtnf2,0.003586
14,Ccl20,0.003574
15,Cd36,0.003559
16,Adrb2,0.003499
17,Antxr1,0.003485
18,Birc7,0.003460
19,B230209E15Rik,0.003423
20,B2m,0.003408
21,Bcas1,0.003327
22,BTNL9,0.003270
23,CALY,0.003240
24,C1QA,0.003212
25,C2cd4a,0.003208
26,Cd59a,0.003208
27,Cd209f,0.003191
28,B3gat2,0.003166
29,Angpt2,0.003157
30,Bfsp2,0.003143
