rank,gene,score
1,C3,0.029268
2,Ccl8,0.027510
3,Cyp2c55,0.014663
4,Ahcyl2,0.013067
5,Isyna1,0.012191
6,CELF1,0.010173
7,Clgn,0.009376
8,Angpt2,0.009123
9,CXCR4,0.008435
10,Cdh26,0.007523
11,Trp53i11,0.007487
12,Pxn,0.007021
13,F11r,0.006705
14,Ccnb1ip1,0.006648
15,Col16a1,0.006371
16,Cd209f,0.006015
17,Slc26a2,0.005910
18,C1qa,0.005547
19,Klf4,0.005307
20,Oasl2,0.005267
21,Caln1,0.005168
22,COL1A2,0.005053
23,Ciita,0.005002
24,Jchain,0.004830
25,Tspan8,0.004745
26,Hadhb,0.004587
27,Cd59a,0.004521
28,CNBP,0.004518
29,CCDC66,0.004459
30,Ccdc24,0.004416
