rank,gene,score
1,ITM2C,0.002274
2,Cd36,0.002150
3,ABCC9,0.002128
4,SGCE,0.002125
5,TIAM1,0.002122
6,IKZF1,0.002113
7,ARHGAP45,0.002112
8,LUC7L,0.002111
9,CSGALNACT1,0.002107
10,ILF2,0.002088
11,TSPAN4,0.002084
12,RNF146,0.002083
13,ZNF407,0.002082
14,Cdkn2c,0.002080
15,CTCF,0.002076
16,ANGPTL4,0.002073
17,THBS1,0.002072
18,F10,0.002068
19,S100PBP,0.002066
20,Cd3d,0.002064
21,SLC6A16,0.002061
22,SSBP3,0.002061
23,CALY,0.002058
24,DSEL,0.002058
25,Cfap126,0.002057
26,ATP2B4,0.002054
27,MED19,0.002053
28,AC002467.1,0.002053
29,Ccl21a,0.002053
30,PTX3,0.002053
