rank,gene,score
1,Cd36,0.002148
2,Slc2a1,0.002141
3,Klf4,0.002119
4,Rab25,0.002117
5,Bmp7,0.002107
6,Pou2af1,0.002105
7,Rdx,0.002104
8,Hsd17b11,0.002095
9,Cxcl12,0.002091
10,Zfp280b,0.002089
11,4930539E08Rik,0.002088
12,Tes,0.002080
13,Col15a1,0.002079
14,Ptn,0.002078
15,Asnsd1,0.002077
16,Rhoc,0.002066
17,Mcmbp,0.002064
18,Zfp703,0.002064
19,Il1r1,0.002064
20,Spry1,0.002061
21,Bcas1,0.002058
22,Prepl,0.002058
23,Col16a1,0.002055
24,Mt2,0.002050
25,Ccl21a,0.002050
26,Flna,0.002049
27,Fkbp9,0.002049
28,Lrig3,0.002048
29,Isyna1,0.002048
30,Tgm2,0.002047
